WARNING 2020-02-27 11:00:49,997 basehttp 124 "GET /epgn_front_end/js/echart.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:50,000 basehttp 124 "GET /epgn_front_end/layui/layui.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:50,031 base 152 Not Found: /epgn_front_end/layui/css/layui.css
WARNING 2020-02-27 11:00:50,033 base 152 Not Found: /epgn_front_end/layui/css/admin.css
WARNING 2020-02-27 11:00:50,034 basehttp 124 "GET /epgn_front_end/layui/css/layui.css HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:50,037 base 152 Not Found: /epgn_front_end/layui/css/modules/layer/default/layer.css
WARNING 2020-02-27 11:00:50,037 basehttp 124 "GET /epgn_front_end/layui/css/admin.css HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:50,039 base 152 Not Found: /epgn_front_end/layui/layui.js
WARNING 2020-02-27 11:00:50,040 basehttp 124 "GET /epgn_front_end/layui/css/modules/layer/default/layer.css HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:50,043 basehttp 124 "GET /epgn_front_end/layui/layui.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:50,054 base 152 Not Found: /epgn_front_end/layui/layui.js
WARNING 2020-02-27 11:00:50,055 basehttp 124 "GET /epgn_front_end/layui/layui.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:50,076 base 152 Not Found: /epgn_front_end/js/echart.js
WARNING 2020-02-27 11:00:50,077 basehttp 124 "GET /epgn_front_end/js/echart.js HTTP/1.1" 404 1926
INFO 2020-02-27 11:00:50,701 basehttp 124 "GET /home/ HTTP/1.1" 200 23448
WARNING 2020-02-27 11:00:50,730 base 152 Not Found: /epgn_front_end/js/vue_2.6.10.js
WARNING 2020-02-27 11:00:50,731 basehttp 124 "GET /epgn_front_end/js/vue_2.6.10.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:50,747 base 152 Not Found: /epgn_front_end/js/axios-0.18.0.min.js
WARNING 2020-02-27 11:00:50,751 basehttp 124 "GET /epgn_front_end/js/axios-0.18.0.min.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:50,749 base 152 Not Found: /epgn_front_end/js/jquery-3.4.1.js
WARNING 2020-02-27 11:00:50,761 basehttp 124 "GET /epgn_front_end/js/jquery-3.4.1.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:50,761 base 152 Not Found: /epgn_front_end/layui/css/layui.css
WARNING 2020-02-27 11:00:50,769 base 152 Not Found: /epgn_front_end/layui/css/admin.css
